car_id,model,year,engine_size,horsepower,fuel_type,transmission,drivetrain,mileage_km,fuel_consumption_l_per_100km,price_usd,co2_emissions_g_km,doors,seats,body_type,color,owner_count,accident_history,service_history,country_sold
1,X5,2016,4,272,diesel,automatic,AWD,74655,8.9,66756,196,5,5,suv,white,2,no,partial,Netherlands
2,1 Series,2022,2.6,218,petrol,automatic,FWD,23469,8.4,26867,190,3,4,hatchback,black,1,no,partial,France
3,X1,2012,2.2,240,petrol,automatic,FWD,123273,7.8,31313,174,5,5,suv,white,3,no,full,Netherlands
4,X5,2022,3.8,316,diesel,,AWD,33064,9.4,81594,192,5,5,suv,blue,1,no,,France
5,7 Series,2023,3.1,294,petrol,automatic,RWD,23926,,104105,204,4,5,sedan,white,1,no,full,Spain
6,X1,2010,1.9,190,diesel,automatic,AWD,182375,5.7,18615,112,5,5,suv,black,5,no,partial,France
7,5 Series,2008,4.2,383,petrol,automatic,AWD,274131,10.7,27173,222,4,5,sedan,blue,4,yes,partial,USA
8,1 Series,2017,1.7,230,petrol,automatic,RWD,73728,7.3,22374,148,5,5,hatchback,black,4,no,partial,Germany
9,X1,2013,1.8,171,petrol,automatic,AWD,170822,7.6,24335,166,5,5,suv,silver,2,no,full,France
10,i3,2012,0,156,electric,automatic,RWD,166379,0,19182,0,5,4,hatchback,,4,yes,none,Spain
11,1 Series,2016,3,276,petrol,automatic,RWD,145961,9.4,14587,,5,4,hatchback,black,3,yes,none,UK
12,3 Series,2019,2,169,hybrid,automatic,AWD,66059,4.6,37881,104,4,5,sedan,black,1,no,full,UK
13,X5,2021,3.2,267,diesel,automatic,AWD,52609,8.4,76525,197,5,5,suv,white,2,yes,full,USA
14,X3,2024,3.2,233,diesel,automatic,AWD,14470,,62303,164,5,5,suv,black,0,no,partial,Netherlands
15,X3,2023,2.4,183,petrol,,RWD,32107,9.9,54498,,5,5,suv,silver,0,no,full,Turkey
16,3 Series,2005,1.7,187,petrol,manual,RWD,300000,,8229,168,4,5,sedan,red,5,yes,full,Italy
